mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.227543,-0.5562,0.0,0.281629,0.40841,0.0,0.600944,0.02918,0.460263,0.801069,0.0,0.399056,0.0,0.0,1.0,1.0,0.471333,-90.0,9.0,0,0
-0.412774,-0.383815,0.0,0.364906,0.339593,0.0,0.563645,0.039108,0.771733,0.507919,0.0,0.436355,0.0,0.0,1.0,1.0,1.361333,-112.499991,8.0,0,0
-0.552755,-0.226497,0.0,0.423013,0.27636,0.0,0.59736,0.040335,0.839223,0.386339,0.0,0.40264,0.0,0.0,1.0,1.0,2.071333,-135.000001,7.0,0,0
-0.596599,0.000161,0.0,0.44614,0.243335,0.0,0.596599,0.03967,0.868847,0.3141,0.0,0.403401,0.0,0.0,1.0,1.0,2.871333,-157.500005,6.0,0,0
-0.496816,0.050665,0.0,0.457493,0.199221,0.0,0.499393,0.027639,0.885142,0.264722,0.0,0.500607,0.0,0.0,1.0,1.0,3.111333,-157.500006,6.0,0,0
-0.481465,0.227299,0.0,0.421424,0.282115,0.0,0.532422,0.022979,0.829492,0.406812,0.0,0.467578,0.0,0.0,1.0,1.0,3.811333,180.0,6.0,0,0
-0.393956,0.408165,0.0,0.353446,0.370152,0.0,0.567274,0.022086,0.670192,0.635922,0.0,0.432726,0.0,0.0,1.0,1.0,4.521333,157.50004,5.0,0,0
-0.217542,0.534472,0.0,0.281321,0.43472,0.0,0.577048,0.01915,0.383172,0.840674,0.0,0.422952,0.0,0.0,1.0,1.0,5.271333,134.999997,4.0,0,0
-0.076783,0.390601,0.0,0.152387,0.467303,0.0,0.398076,0.016122,0.260229,0.886473,0.0,0.601924,0.0,0.0,1.0,1.0,6.071333,112.499997,3.0,0,0
0.0,0.130763,0.0,0.0,0.332022,0.0,0.130763,0.008391,0.0,0.92388,0.0,0.869237,0.0,0.0,1.0,1.0,7.001333,90.0,3.0,0,2
