mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.242815,0.02378,-0.076968,0.556134,0.638563,0.466166,0.25583,0.010279,0.878554,0.757213,0.490265,0.74417,0.0,0.0,1.0,0.0,0.281333,30.337482,1.0,0,0
0.166547,-0.010295,-0.079089,0.593539,0.642055,0.448477,0.184659,0.008774,0.948409,0.791839,0.439043,0.815341,0.0,0.0,1.0,0.0,0.521333,-10.812303,11.0,0,1
0.116088,-0.064428,-0.140567,0.608078,0.634825,0.435493,0.193356,0.01481,0.713526,0.642281,0.363513,0.806644,0.0,0.0,1.0,0.0,1.111333,-26.992321,11.0,0,1
-0.065496,-0.174496,-0.135576,0.608283,0.605272,0.458622,0.230477,0.017892,0.470804,0.540568,0.283699,0.769523,0.0,0.0,1.0,0.0,1.981333,-30.14797,10.0,0,0
-0.184633,-0.17696,-0.036369,0.560263,0.647483,0.447173,0.258315,0.016925,0.51932,1.042385,0.309948,0.741685,0.0,0.0,1.0,0.0,2.781333,-55.832379,10.0,0,0
-0.162887,-0.10464,0.013059,0.559792,0.656396,0.466763,0.194042,0.010939,0.700944,1.695013,0.567851,0.805958,0.0,0.0,1.0,0.0,3.701333,-124.531839,7.0,1,1
-0.164533,-0.107173,0.043785,0.567494,0.64684,0.467813,0.201182,0.010559,0.793368,1.767063,0.629754,0.798818,0.0,0.0,1.0,0.0,4.281333,-97.251292,8.0,2,1
-0.130606,-0.077775,0.036097,0.58448,0.619247,0.50024,0.156236,0.008976,0.621463,1.200758,0.67175,0.843764,0.0,0.0,1.0,0.0,4.521333,94.237432,3.0,2,1
-0.130317,-0.057295,0.052907,0.570629,0.596205,0.543772,0.151869,0.011095,0.536356,0.931205,0.533583,0.848131,0.0,0.0,1.0,0.0,5.081333,-120.489681,7.0,2,2
-0.000921,0.002128,0.026659,0.289269,0.313669,0.381284,0.02676,0.004512,0.142794,0.186124,0.273038,0.97324,0.0,0.0,1.0,0.0,6.851333,84.489441,2.0,2,2
