mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.234093,-0.132213,-0.132357,0.563602,0.612136,0.466735,0.299663,0.019348,0.562377,0.563179,0.361424,0.700337,0.0,0.0,1.0,0.0,0.461333,-10.67687,11.0,0,0
0.146523,-0.260737,-0.065731,0.560447,0.604813,0.475738,0.306224,0.023129,0.559436,0.584556,0.36402,0.693776,0.0,0.0,1.0,0.0,1.301333,-6.107975,11.0,0,0
0.012368,-0.258724,-0.06836,0.569114,0.605073,0.488079,0.267889,0.026421,0.483153,0.539472,0.339551,0.732111,0.0,0.0,1.0,0.0,2.181333,-42.579672,10.0,0,0
-0.023645,-0.218878,-0.087281,0.594193,0.593859,0.488027,0.236822,0.023923,0.499705,0.495204,0.340588,0.763178,0.0,0.0,1.0,0.0,2.421333,-44.265742,10.0,0,0
-0.085849,-0.125216,-0.078819,0.603103,0.592061,0.506417,0.17106,0.024978,0.49947,0.523306,0.428744,0.82894,0.0,0.0,1.0,0.0,2.981333,-56.188835,10.0,0,1
-0.106171,-0.098567,-0.078241,0.592555,0.590708,0.522314,0.164649,0.022305,0.472763,0.508523,0.446283,0.835351,0.0,0.0,1.0,0.0,3.201333,148.066009,4.0,0,1
-0.136446,-0.110641,-0.05636,0.591071,0.592251,0.515585,0.184487,0.021087,0.528286,0.609564,0.463663,0.815513,0.0,0.0,1.0,0.0,3.881333,-121.766917,7.0,0,1
-0.154758,-0.148603,-0.049821,0.588451,0.622368,0.466753,0.220261,0.017414,0.678622,0.746514,0.403431,0.779739,0.0,0.0,1.0,0.0,4.601333,-154.945989,6.0,0,1
-0.174622,-0.186723,-0.065417,0.635851,0.611802,0.389529,0.263889,0.015185,0.791856,0.816922,0.39534,0.736111,0.0,0.0,1.0,0.0,5.271333,-140.731062,7.0,0,0
0.006288,-0.103711,-0.025251,0.676255,0.512209,0.298157,0.106926,0.008353,1.117892,0.95523,0.507739,0.893074,0.0,0.0,1.0,0.0,6.121333,-149.366921,7.0,0,2
