mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.179687,-0.162928,0.0,0.600715,0.76178,0.0,0.242555,0.022866,0.511691,0.758555,0.0,0.757445,0.0,0.0,1.0,1.0,0.521333,-88.032822,9.0,0,0
-0.253126,-0.186368,0.0,0.612172,0.725561,0.0,0.314334,0.029038,0.699555,0.56881,0.0,0.685666,0.0,0.0,1.0,1.0,1.111333,-111.536466,8.0,0,0
-0.248154,-0.12561,0.0,0.628037,0.726781,0.0,0.278134,0.026895,0.742285,0.515703,0.0,0.721866,0.0,0.0,1.0,1.0,1.331333,-114.537693,8.0,0,0
-0.348483,-0.06367,0.0,0.62958,0.691472,0.0,0.354251,0.029372,0.802099,0.428207,0.0,0.645749,0.0,0.0,1.0,1.0,1.881333,-133.518586,7.0,0,0
-0.388711,0.077745,0.0,0.656164,0.642113,0.0,0.396409,0.025814,0.856513,0.367642,0.0,0.603591,0.0,0.0,1.0,1.0,2.801333,-161.44375,6.0,0,0
-0.349611,0.173824,0.0,0.683286,0.616982,0.0,0.390439,0.024848,0.820203,0.461452,0.0,0.609561,0.0,0.0,1.0,1.0,3.501333,-179.951675,6.0,0,0
-0.276011,0.221926,0.0,0.666167,0.656337,0.0,0.354165,0.028118,0.643601,0.713835,0.0,0.645835,0.0,0.0,1.0,1.0,4.291333,157.339116,5.0,0,0
-0.128086,0.277721,0.0,0.605844,0.734443,0.0,0.305835,0.026202,0.364706,0.931159,0.0,0.694165,0.0,0.0,1.0,1.0,5.321333,133.355235,4.0,0,0
-0.069448,0.251654,0.0,0.591813,0.67892,0.0,0.26106,0.020659,0.314716,1.002309,0.0,0.73894,0.0,0.0,1.0,1.0,5.991333,116.253963,3.0,0,0
-0.065757,0.160909,0.0,0.453332,0.532543,0.0,0.173826,0.014169,0.213167,1.05791,0.0,0.826174,0.0,0.0,1.0,1.0,6.711333,90.180334,3.0,0,1
