mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.032818,0.300188,-0.017258,0.499684,0.634363,0.506361,0.30247,0.005125,0.489348,0.875836,0.503683,0.69753,0.0,0.0,1.0,0.0,0.071333,97.642141,3.0,0,0
-0.013281,-0.164082,-0.023662,0.570035,0.580807,0.556832,0.16631,0.01375,0.588438,0.86098,0.682525,0.83369,0.0,0.0,1.0,0.0,11.601333,-163.798811,6.0,0,1
0.040946,-0.28554,0.01297,0.524189,0.606833,0.523067,0.288752,0.018173,0.510474,0.975948,0.590167,0.711248,0.0,0.0,1.0,0.0,12.601333,-83.020106,9.0,1,0
0.017199,-0.377197,0.013253,0.495963,0.604971,0.495249,0.377821,0.021689,0.471899,0.946498,0.520984,0.622179,0.0,0.0,1.0,0.0,13.631333,-86.79722,9.0,1,0
0.004774,-0.397162,0.008808,0.493351,0.607873,0.478797,0.397288,0.022141,0.413564,0.897701,0.422532,0.602712,0.0,0.0,1.0,0.0,14.461333,-87.871942,9.0,1,0
-0.02494,-0.383695,0.007507,0.496587,0.609736,0.483448,0.384578,0.023082,0.448174,0.905593,0.448855,0.615422,0.0,0.0,1.0,0.0,15.861333,-93.698719,8.0,1,0
-0.098297,-0.162188,-0.008755,0.579299,0.594091,0.524797,0.189852,0.014385,0.591156,0.874406,0.58945,0.810148,0.0,0.0,1.0,0.0,18.701333,-96.922957,8.0,0,1
-0.200628,-0.01768,-0.005771,0.629597,0.557839,0.50181,0.201488,0.008895,0.680612,0.729353,0.64506,0.798512,0.0,0.0,1.0,0.0,19.561333,-143.488471,7.0,1,1
-0.273145,0.089206,0.016815,0.631436,0.549949,0.464729,0.287835,0.003639,0.843442,0.610068,0.478053,0.712165,0.0,0.0,1.0,0.0,23.611333,160.734245,5.0,1,0
-0.069551,0.030242,0.003583,0.332583,0.290277,0.230956,0.075926,0.001555,0.74998,0.567585,0.393698,0.924074,0.0,0.0,1.0,0.0,26.001333,154.85775,5.0,1,2
