mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
-0.255543,0.345105,0.0,0.617071,0.659056,0.0,0.429418,0.022714,0.577918,0.718224,0.0,0.570582,0.0,0.0,1.0,1.0,1.171333,131.200441,4.0,0,0
0.555389,-0.830224,0.0,0.039829,0.025631,0.0,0.998864,0.04961,0.519925,0.76369,0.0,0.001136,0.0,0.0,1.0,1.0,3.091333,-54.673939,10.0,0,0
0.481251,-0.870307,0.0,0.083489,0.06214,0.0,0.994503,0.044354,0.454391,0.804408,0.0,0.005497,0.0,0.0,1.0,1.0,4.501333,-58.892627,10.0,0,0
0.364904,-0.929253,0.0,0.046949,0.033342,0.0,0.998331,0.048375,0.341967,0.858267,0.0,0.001669,0.0,0.0,1.0,1.0,6.791333,-66.871313,9.0,0,0
0.138966,-0.754707,0.0,0.441071,0.46461,0.0,0.767394,0.043363,0.295968,0.874204,0.0,0.232606,0.0,0.0,1.0,1.0,8.101333,-71.34555,9.0,0,0
-0.577755,-0.813857,0.0,0.031198,0.028372,0.0,0.99808,0.003653,0.542878,0.747553,0.0,0.00192,0.0,0.0,1.0,1.0,9.971333,-123.200923,7.0,0,0
-0.620567,-0.781909,0.0,0.030281,0.028129,0.0,0.998241,0.004006,0.5796,0.719456,0.0,0.001759,0.0,0.0,1.0,1.0,10.891333,-126.37465,7.0,0,0
-0.706026,-0.705109,0.0,0.031116,0.031067,0.0,0.997823,0.005477,0.649544,0.656997,0.0,0.002177,0.0,0.0,1.0,1.0,12.871333,-133.966561,7.0,0,0
-0.42668,-0.538178,0.0,0.69591,0.203621,0.0,0.686798,0.00618,0.810758,0.442968,0.0,0.313202,0.0,0.0,1.0,1.0,14.771333,-138.672009,7.0,0,0
0.735697,-0.240944,0.0,0.610987,0.163887,0.0,0.774147,0.013867,0.904858,0.186548,0.0,0.225853,0.0,0.0,1.0,1.0,16.101333,-140.783869,7.0,0,0
